id_commune;code_region;population_municipale;population_comptee_a_part
02513;32;138;2
02514;32;704;15
02515;32;55;6
02516;32;67;1
02517;32;299;5
02518;32;303;3
02519;32;186;4
02520;32;741;7
02521;32;1364;14
02522;32;74;2
02523;32;72;1
02524;32;694;15
02525;32;577;13
02526;32;99;3
02527;32;458;9
02528;32;228;5
02529;32;178;1
02530;32;78;1
02531;32;118;1
02532;32;986;18
02533;32;111;8
02534;32;48;1
02535;32;113;5
02536;32;103;1
02537;32;202;1
02538;32;70;0
02539;32;702;8
02540;32;1227;36
02541;32;421;6
02542;32;82;2
02543;32;2066;34
02544;32;616;14
02545;32;187;2
02546;32;193;4
02547;32;66;1
02548;32;377;7
02549;32;846;25
02550;32;115;3
02551;32;115;0
02552;32;187;9
02553;32;244;4
02554;32;1071;22
02555;32;2108;46
02556;32;81;1
02557;32;127;0
02558;32;2557;28
02559;32;462;4
02560;32;246;4
02561;32;153;4
02562;32;212;2
02563;32;164;3
02564;32;495;5
02565;32;291;3
02566;32;1104;23
02567;32;279;8
02568;32;162;4
02569;32;471;3
02570;32;177;0
02571;32;717;75
02572;32;502;9
02573;32;60;1
02574;32;1432;28
02575;32;1670;14
02576;32;330;8
02577;32;90;1
02578;32;86;1
02579;32;125;9
02580;32;816;10
02581;32;323;1
02582;32;76;2
02583;32;54;2
02584;32;121;6
02585;32;259;7
02586;32;139;6
02587;32;355;7
02588;32;68;2
02589;32;261;0
02590;32;169;4
02591;32;135;1
02592;32;192;4
02593;32;1064;21
02594;32;132;6
02595;32;133;0
02596;32;763;15
02598;32;669;18
02599;32;255;3
02600;32;347;5
02601;32;197;2
02602;32;1698;27
02604;32;84;1
02605;32;192;5
02606;32;70;3
02607;32;78;3
02608;32;473;2
02609;32;20;0
02610;32;736;11
02612;32;127;1
02613;32;605;11
02614;32;265;7
02615;32;360;5
02616;32;211;3
02617;32;508;4
02618;32;694;12
02619;32;658;0
02620;32;347;9
02621;32;379;15
02622;32;54;0
02623;32;97;3
02624;32;275;66
02625;32;142;2
02626;32;334;7
02627;32;123;3
02628;32;217;6
02629;32;311;12
02631;32;411;5
02632;32;57;1
02633;32;60;0
02634;32;82;4
02635;32;146;5
02636;32;199;5
02637;32;293;10
02638;32;237;1
02639;32;346;7
02640;32;157;4
02641;32;111;4
02642;32;173;3
02643;32;769;8
02644;32;346;13
02645;32;192;9
02647;32;60;0
02648;32;1937;38
02649;32;307;4
02650;32;357;6
02651;32;106;1
02652;32;104;1
02653;32;500;13
02654;32;82;1
02655;32;135;0
02656;32;394;10
02657;32;250;4
02658;32;236;8
02659;32;504;13
02660;32;38;2
02661;32;254;3
02662;32;322;9
02663;32;221;5
02664;32;123;3
02665;32;300;5
02666;32;1002;17
02667;32;203;6
02668;32;1057;21
02670;32;151;0
02671;32;287;5
02672;32;261;4
02673;32;444;7
02674;32;48;0
02675;32;133;1
02676;32;1716;40
02677;32;240;3
02678;32;68;0
02679;32;150;4
02680;32;2294;37
02681;32;279;5
02682;32;114;3
02683;32;110;3
02684;32;3314;57
02685;32;120;1
02686;32;373;4
02687;32;333;9
02688;32;48;4
02689;32;41;1
02690;32;80;1
02691;32;53570;1281
02693;32;221;3
02694;32;641;10
02695;32;81;0
02696;32;76;3
02697;32;384;5
02698;32;101;2
02699;32;280;3
02701;32;708;8
02702;32;602;22
02703;32;1083;13
02704;32;247;4
02705;32;210;6
02706;32;566;11
02707;32;181;0
02708;32;215;8
02709;32;407;8
02710;32;742;18
02711;32;293;7
02712;32;142;3
02713;32;270;4
02714;32;358;2
02715;32;45;3
02716;32;290;5
02717;32;590;13
02718;32;121;3
02719;32;2028;41
02720;32;2034;74
02721;32;476;2
02722;32;28712;651
02723;32;98;1
02724;32;61;1
02725;32;139;6
02726;32;181;3
02727;32;221;3
02728;32;264;4
02729;32;81;1
02730;32;267;6
02731;32;171;2
02732;32;104;0
02734;32;274;6
02735;32;17;0
02736;32;167;5
02737;32;552;12
02738;32;13588;200
02739;32;335;7
02740;32;221;6
02741;32;539;5
02742;32;114;0
02743;32;158;1
02744;32;72;2
02745;32;121;1
02746;32;658;8
02747;32;83;0
02748;32;939;24
02749;32;219;7
02750;32;583;8
02751;32;144;2
02752;32;281;5
02753;32;328;4
02754;32;185;3
02755;32;589;10
02756;32;684;12
02757;32;529;8
02758;32;2012;37
02759;32;370;3
02760;32;142;3
02761;32;211;4
02762;32;139;5
02763;32;219;4
02764;32;88;3
02765;32;246;10
02766;32;235;6
02767;32;322;3
02768;32;542;6
02769;32;898;14
02770;32;788;20
02772;32;160;1
02773;32;39;0
02774;32;118;1
02775;32;936;17
02776;32;558;12
02777;32;142;7
02778;32;97;1
02779;32;219;3
02780;32;1378;17
02781;32;453;16
02782;32;220;2
02783;32;138;0
02784;32;138;0
02785;32;1100;30
02786;32;127;2
02787;32;258;2
02788;32;460;7
02789;32;2587;96
02790;32;238;3
02791;32;259;6
02792;32;157;7
02793;32;119;1
02794;32;188;4
02795;32;1618;18
02796;32;83;0
02797;32;172;1
02798;32;1221;19
02799;32;407;9
02800;32;313;5
02801;32;272;3
02802;32;209;0
02803;32;146;5
02804;32;186;3
02805;32;2549;44
02806;32;294;5
02807;32;656;24
02808;32;289;5
02809;32;69;3
02810;32;10424;417
02812;32;207;6
02813;32;252;8
02814;32;162;0
02815;32;430;17
02816;32;531;6
02817;32;82;1
02818;32;1166;11
02819;32;116;1
02820;32;1688;43
02821;32;680;21
02822;32;391;12
02823;32;74;0
02824;32;375;8
02826;32;356;7
02827;32;312;5
02828;32;94;0
02829;32;42;1
02830;32;955;16
02831;32;379;6
02832;32;189;5
02833;32;508;7
02834;32;169;6
03001;84;2904;60
03002;84;309;12
03003;84;987;27
03004;84;253;7
03005;84;338;3
03006;84;633;17
03007;84;357;7
03008;84;372;14
03009;84;135;36
03010;84;424;13
03011;84;421;9
03012;84;323;5
03013;84;3953;96
03014;84;136;3
03015;84;328;11
03016;84;143;2
03017;84;189;6
03018;84;685;14
03019;84;1640;24
03020;84;294;7
03021;84;224;2
03022;84;997;17
03023;84;8741;231
03024;84;237;6
03025;84;1328;31
03026;84;761;18
03027;84;928;24
03028;84;364;7
03029;84;783;12
03030;84;856;15
03031;84;291;9
03032;84;244;2
03033;84;181;4
03034;84;496;12
03035;84;212;4
03036;84;2572;72
03037;84;259;2
03038;84;521;8
03039;84;384;7
03040;84;1126;38
03041;84;319;12
03042;84;530;17
03043;84;1189;75
03044;84;1516;36
03045;84;849;18
03046;84;1026;23
03047;84;407;9
03048;84;1305;24
03049;84;428;10
03050;84;179;10
03051;84;301;6
03052;84;1093;29
03053;84;1102;25
03054;84;237;6
03055;84;966;17
03056;84;382;7
03057;84;201;6
03058;84;238;6
03059;84;359;7
03060;84;1030;17
03061;84;394;6
03062;84;351;17
03063;84;1028;20
03064;84;180;1
03065;84;544;9
03066;84;324;5
03067;84;138;4
03068;84;104;1
03069;84;312;6
03070;84;133;1
03071;84;248;3
03072;84;492;12
03073;84;638;11
03074;84;656;15
03075;84;168;2
03076;84;227;7
03077;84;128;3
03078;84;231;8
03079;84;303;8
03080;84;691;11
03081;84;327;12
03082;84;6132;189
03083;84;580;13
03084;84;2034;31
03085;84;646;55
03086;84;321;8
03087;84;597;7
03088;84;320;2
03089;84;152;1
03090;84;305;8
03091;84;438;9
03092;84;628;13
03093;84;1185;27
03094;84;3297;102
03095;84;12474;481
03096;84;86;1
03097;84;360;9
03098;84;4459;87
03099;84;391;11
03100;84;1381;35
03101;84;8729;166
03102;84;3032;59
03103;84;1065;25
03104;84;1169;32
03105;84;357;7
03106;84;1316;105
03107;84;1270;27
03108;84;376;6
03109;84;781;32
03110;84;968;26
03111;84;1112;24
03112;84;668;9
03113;84;536;16
03114;84;279;7
03115;84;341;7
03116;84;191;5
03117;84;475;12
03118;84;5830;197
03119;84;413;4
03120;84;710;12
03121;84;647;17
03122;84;236;6
03124;84;219;3
03125;84;124;2
03126;84;1167;13
03127;84;620;10
03128;84;2645;57
03129;84;312;13
03130;84;279;6
03131;84;550;13
03132;84;559;15
03133;84;519;10
03134;84;193;3
03135;84;407;9
03136;84;235;5
03137;84;271;6
03138;84;3144;73
03139;84;313;11
03140;84;1154;33
03141;84;149;2
03142;84;242;5
03143;84;92;3
03144;84;211;8
03145;84;736;13
03146;84;154;35
03147;84;167;2
03148;84;349;6
03149;84;441;16
03150;84;203;7
03151;84;159;3
03152;84;231;7
03154;84;276;4
03155;84;1881;42
03156;84;1688;54
03157;84;1020;23
03158;84;871;19
03159;84;780;15
03160;84;410;4
03161;84;900;29
03162;84;202;6
03163;84;751;22
03164;84;273;2
03165;84;1384;86
03166;84;306;5
03167;84;286;4
03168;84;906;15
03169;84;331;6
03170;84;129;6
03171;84;249;6
