id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces
5052;30189;Appartement;77,93;78;5
5053;30189;Appartement;46,07;46;2
5054;30189;Appartement;19,54;20;1
5055;30133;Appartement;28,27;29;2
5056;30334;Appartement;80,15;92;5
5057;30128;Appartement;82,62;81;4
5058;30334;Appartement;53,06;56;2
5059;30334;Appartement;31,57;32;2
5060;30141;Appartement;94,57;98;4
5061;30034;Appartement;45,23;47;3
5062;30032;Appartement;47,8;47;3
5063;30334;Appartement;38,19;38;2
5064;30334;Appartement;34,69;36;1
5065;30334;Appartement;33,07;33;2
5066;30351;Appartement;34,6;35;1
5067;30351;Appartement;77,2;78;2
5068;30351;Appartement;71,38;71;3
5069;30288;Appartement;57,35;64;4
5070;30141;Appartement;49,7;46;2
5071;30156;Appartement;55,6;54;3
5072;30166;Appartement;38,79;42;2
5073;30351;Appartement;63,41;63;3
5074;30156;Maison;81,55;81;4
5075;30217;Appartement;33,65;34;1
5076;30011;Appartement;53,55;56;3
5077;30032;Appartement;83,99;86;4
5078;30334;Appartement;50,33;50;2
5079;30212;Maison;80,08;80;4
5080;30011;Maison;173,59;137;4
5081;30206;Maison;44,95;45;2
5082;30202;Appartement;86,25;108;3
5083;30217;Appartement;65,16;65;3
5084;30351;Maison;91,79;92;4
5085;30334;Appartement;50,34;50;3
5086;30032;Appartement;68,45;68;3
5087;30258;Appartement;53,05;53;3
5088;30073;Maison;130;150;5
5089;30334;Appartement;13,24;14;1
5090;30334;Appartement;43,28;58;3
5091;30351;Appartement;85,24;84;4
5092;30334;Appartement;49,35;49;2
5093;30334;Appartement;54,36;54;2
5094;30258;Maison;84,06;83;4
5095;30141;Appartement;51,29;70;3
5096;30334;Maison;95,24;104;4
5097;30202;Appartement;65,94;73;4
5098;30260;Maison;99,26;100;4
5099;30202;Appartement;54,4;54;2
5100;30156;Appartement;65,4;65;3
5101;30334;Appartement;62,95;56;2
5102;30258;Appartement;52,6;52;3
5103;30290;Appartement;85;85;3
5104;30258;Appartement;43,93;46;2
5105;30317;Appartement;27,85;27;1
5106;30202;Maison;92,36;90;3
5107;30202;Appartement;72,22;68;4
5108;30028;Appartement;45,64;42;3
5109;30351;Appartement;73,58;73;4
5110;30034;Appartement;75,84;76;4
5111;30315;Appartement;57,3;63;2
5112;30334;Appartement;62,9;65;3
5113;30174;Maison;88,3;89;4
5114;30028;Appartement;85,01;89;4
5115;30028;Appartement;50,39;50;2
5116;30011;Appartement;38,32;40;2
5117;30156;Maison;81,24;81;4
5118;30202;Maison;89,32;85;4
5119;30179;Appartement;121,06;120;5
5120;30334;Appartement;28,31;26;1
5121;30334;Appartement;139,99;159;3
5122;30334;Appartement;78,18;70;3
5123;30334;Appartement;64,24;66;3
5124;30028;Maison;85,99;87;4
5125;30221;Appartement;43,91;41;2
5126;30217;Appartement;81,65;82;4
5127;30007;Appartement;39,5;39;2
5128;30203;Appartement;100,45;30;1
5129;30171;Appartement;60,54;54;3
5130;30007;Maison;138,95;133;4
5131;30037;Appartement;14;46;2
